country,year,co2emissions
Botswana,2029,6972628.5
Botswana,2030,9554854.0
Bulgaria,2021,41712750.0
Bulgaria,2022,24681510.0
Bulgaria,2023,23391190.0
Bulgaria,2024,42330936.0
Bulgaria,2025,26368904.0
Bulgaria,2026,24654576.0
Bulgaria,2027,34025404.0
Bulgaria,2028,37260096.0
Bulgaria,2029,37188550.0
Bulgaria,2030,38101724.0
Burkina Faso,2021,3262985.0
Burkina Faso,2022,3016729.2
Burkina Faso,2023,3714518.5
Burkina Faso,2024,3566549.8
Burkina Faso,2025,3957767.2
Burkina Faso,2026,3449250.8
Burkina Faso,2027,4246366.0
Burkina Faso,2028,4339754.0
Burkina Faso,2029,4323312.0
Burkina Faso,2030,4526080.0
Burundi,2021,-361693.53
Burundi,2022,-419135.78
Burundi,2023,-641908.2
Burundi,2024,-832790.9
Burundi,2025,-444852.94
Burundi,2026,-600220.75
Burundi,2027,-784601.2
Burundi,2028,-707627.06
Burundi,2029,513793.5
Burundi,2030,-786819.3
Cambodia,2021,6634594.5
Cambodia,2022,7152970.5
Cambodia,2023,7132202.0
Cambodia,2024,6536789.5
Cambodia,2025,6524392.0
Cambodia,2026,8223980.5
Cambodia,2027,7080738.0
Cambodia,2028,8833894.0
Cambodia,2029,9042440.0
Cambodia,2030,6523795.0
Cameroon,2021,6336851.0
Cameroon,2022,2572521.5
Cameroon,2023,5134807.0
Cameroon,2024,7527674.0
Cameroon,2025,8159415.0
Cameroon,2026,8730694.0
Cameroon,2027,9660483.0
Cameroon,2028,11273625.0
Cameroon,2029,8924438.0
Cameroon,2030,12261550.0
Cape Verde,2021,355817.88
Cape Verde,2022,277376.66
Cape Verde,2023,215409.52
Cape Verde,2024,272316.22
Cape Verde,2025,200168.05
Cape Verde,2026,212114.06
Cape Verde,2027,233936.9
Cape Verde,2028,165911.22
Cape Verde,2029,122683.78
Cape Verde,2030,135555.05
Chad,2021,652089.94
Chad,2022,837727.9
Chad,2023,619132.7
Chad,2024,800395.1
Chad,2025,738509.1
Chad,2026,701552.56
Chad,2027,498626.9
Chad,2028,478409.4
Chad,2029,468716.34
Chad,2030,732555.94
Chile,2021,85338090.0
Chile,2022,89040216.0
Chile,2023,97022190.0
Chile,2024,90868240.0
Chile,2025,94089910.0
Chile,2026,103748150.0
Chile,2027,99751880.0
Chile,2028,104989820.0
Chile,2029,110006420.0
Chile,2030,106977880.0
Colombia,2021,32052050.0
Colombia,2022,85926904.0
Colombia,2023,100084664.0
Colombia,2024,93750150.0
Colombia,2025,107249416.0
Colombia,2026,95975544.0
Colombia,2027,96258424.0
Colombia,2028,103175416.0
Colombia,2029,100349440.0
Colombia,2030,82267890.0
Comoros,2021,706209.8
Comoros,2022,536164.56
Comoros,2023,709302.44
Comoros,2024,732611.44
Comoros,2025,645358.0
Comoros,2026,770128.8
Comoros,2027,772815.9
Comoros,2028,783627.5
Comoros,2029,772917.3
Comoros,2030,790624.0
Costa Rica,2021,9052064.0
Costa Rica,2022,8335519.0
Costa Rica,2023,9568163.0
Costa Rica,2024,8478687.0
Costa Rica,2025,7797391.0
Costa Rica,2026,8710681.0
Costa Rica,2027,7199716.5
Costa Rica,2028,7872755.5
Costa Rica,2029,10597934.0
Costa Rica,2030,8960615.0
Cote d'Ivoire,2021,6395678.0
Cote d'Ivoire,2022,8487636.0
Cote d'Ivoire,2023,9606042.0
Cote d'Ivoire,2024,9932317.0
Cote d'Ivoire,2025,10157992.0
Cote d'Ivoire,2026,10427838.0
Cote d'Ivoire,2027,11991891.0
Cote d'Ivoire,2028,10852679.0
Cote d'Ivoire,2029,11127950.0
Cote d'Ivoire,2030,10965694.0
Croatia,2021,20708732.0
Croatia,2022,20498852.0
Croatia,2023,21072594.0
Croatia,2024,20525824.0
Croatia,2025,20645638.0
Croatia,2026,20896188.0
Croatia,2027,20703100.0
Croatia,2028,20588502.0
Croatia,2029,17783556.0
Croatia,2030,21328852.0
Cuba,2021,19985252.0
Cuba,2022,27153556.0
Cuba,2023,22236352.0
Cuba,2024,26787250.0
Cuba,2025,27300036.0
Cuba,2026,27878380.0
Cuba,2027,26987962.0
Cuba,2028,25929742.0
Cuba,2029,23588168.0
Cuba,2030,24675634.0
Cyprus,2021,7597756.5
Cyprus,2022,7604227.0
Cyprus,2023,8010239.0
Cyprus,2024,7799222.5
Cyprus,2025,8032191.5
Cyprus,2026,7612497.0
Cyprus,2027,7323625.5
Cyprus,2028,8190316.5
Cyprus,2029,7458796.0
Cyprus,2030,8170854.0
Czechia,2021,97953260.0
Czechia,2022,103132710.0
Czechia,2023,86793304.0
Czechia,2024,96726360.0
Czechia,2025,90405530.0
Czechia,2026,82129384.0
Czechia,2027,92124170.0
Czechia,2028,96507200.0
Czechia,2029,118327960.0
Czechia,2030,110464130.0
Denmark,2021,33401884.0
Denmark,2022,37760390.0
Denmark,2023,35730116.0
Denmark,2024,40367364.0
Denmark,2025,37015424.0
Denmark,2026,34529640.0
Denmark,2027,33292800.0
Denmark,2028,37533316.0
Denmark,2029,35563470.0
Denmark,2030,31024876.0
Djibouti,2021,347880.28
Djibouti,2022,343228.62
Djibouti,2023,338710.03
Djibouti,2024,332924.0
Djibouti,2025,337391.88
Djibouti,2026,315337.7
Djibouti,2027,287789.0
Djibouti,2028,307606.06
Djibouti,2029,322714.44
Djibouti,2030,309507.28
Dominica,2021,-234222.98
Dominica,2022,-308307.25
Dominica,2023,-417031.75
Dominica,2024,-372124.9
Dominica,2025,-414534.8
Dominica,2026,-329905.12
Dominica,2027,-451595.94
Dominica,2028,-464422.84
Dominica,2029,-407741.12
Dominica,2030,-468529.5
Dominican Republic,2021,20542134.0
Dominican Republic,2022,24613396.0
Dominican Republic,2023,21802896.0
Dominican Republic,2024,22346298.0
Dominican Republic,2025,18297222.0
Dominican Republic,2026,22628780.0
Dominican Republic,2027,23463588.0
Dominican Republic,2028,28107782.0
Dominican Republic,2029,24254066.0
Dominican Republic,2030,25344954.0
Ecuador,2021,30807536.0
Ecuador,2022,48156990.0
Ecuador,2023,46478972.0
Ecuador,2024,45316680.0
Ecuador,2025,52140948.0
Ecuador,2026,52866772.0
Ecuador,2027,47281276.0
Ecuador,2028,46105280.0
Ecuador,2029,57195436.0
Ecuador,2030,50621720.0
Egypt,2021,249640620.0
Egypt,2022,162773570.0
Egypt,2023,250712620.0
Egypt,2024,248400820.0
Egypt,2025,256418980.0
Egypt,2026,258474350.0
Egypt,2027,246028600.0
Egypt,2028,259592270.0
Egypt,2029,237088700.0
Egypt,2030,267164480.0
El Salvador,2021,6724289.5
El Salvador,2022,6718798.0
El Salvador,2023,6764890.0
El Salvador,2024,6743198.5
El Salvador,2025,6775228.5
El Salvador,2026,6779791.5
El Salvador,2027,6770707.5
El Salvador,2028,6807253.0
El Salvador,2029,6710028.0
El Salvador,2030,6811196.5
Eswatini,2021,1323434.9
Eswatini,2022,1217182.0
Eswatini,2023,1262006.4
Eswatini,2024,1196731.1
Eswatini,2025,1237613.8
Eswatini,2026,1256828.8
Eswatini,2027,1310608.0
Eswatini,2028,1234888.6
Eswatini,2029,1267849.5
Eswatini,2030,1351332.1
Ethiopia,2021,13999196.0
Ethiopia,2022,8472578.0
Ethiopia,2023,12709673.0
Ethiopia,2024,15166357.0
Ethiopia,2025,11225768.0
Ethiopia,2026,15614331.0
Ethiopia,2027,5278911.5
Ethiopia,2028,19884154.0
Ethiopia,2029,19075688.0
Ethiopia,2030,18349614.0
Finland,2021,43575830.0
Finland,2022,54545324.0
Finland,2023,49073984.0
Finland,2024,52364790.0
Finland,2025,41318510.0
Finland,2026,53126916.0
Finland,2027,42339464.0
Finland,2028,50298484.0
Finland,2029,48845910.0
Finland,2030,48818864.0
Gabon,2021,4195774.0
Gabon,2022,4226840.0
Gabon,2023,4220187.0
Gabon,2024,4210876.0
Gabon,2025,4230004.0
Gabon,2026,4260027.5
Gabon,2027,4230456.0
Gabon,2028,4285474.5
Gabon,2029,4132174.2
Gabon,2030,4161281.8
Gambia,2021,396095.25
Gambia,2022,401317.25
Gambia,2023,413573.8
Gambia,2024,453258.62
Gambia,2025,477353.44
Gambia,2026,508888.38
Gambia,2027,512602.1
Gambia,2028,543984.94
Gambia,2029,599969.56
Gambia,2030,550867.3
Ghana,2021,16657254.0
Ghana,2022,18201796.0
Ghana,2023,17172858.0
Ghana,2024,19720388.0
Ghana,2025,19192994.0
Ghana,2026,20364326.0
Ghana,2027,21879778.0
Ghana,2028,23412636.0
Ghana,2029,22910336.0
Ghana,2030,22040240.0
Greece,2021,96336320.0
Greece,2022,95286790.0
Greece,2023,92238660.0
Greece,2024,97876380.0
Greece,2025,87154230.0
Greece,2026,97604536.0
Greece,2027,93219020.0
Greece,2028,95682760.0
Greece,2029,101024200.0
Greece,2030,99095450.0
Guatemala,2021,14259120.0
Guatemala,2022,15030119.0
Guatemala,2023,15321193.0
Guatemala,2024,15558345.0
Guatemala,2025,12589423.0
Guatemala,2026,16674073.0
Guatemala,2027,17295390.0
Guatemala,2028,15948171.0
Guatemala,2029,17779444.0
Guatemala,2030,17688556.0
Guinea,2021,2017811.8
Guinea,2022,2014205.8
Guinea,2023,2018584.9
Guinea,2024,2004737.6
Guinea,2025,2004896.0
Guinea,2026,1982860.9
Guinea,2027,2009782.2
Guinea,2028,1964932.4
